 -1.36232778e+01 5.39391941e+01 -3.97607569e+01 1.78285849e+01 5.35662279e+01 -3.93397479e+01 -2.03407484e+01 -2.25221853e+01 2.85742920e+01 2.41535076e+01
 -2.60504953e+01 3.43311557e+01 -3.88088523e+01 3.37315259e+01 4.70137861e+01 -6.14538396e+01 -1.79939212e+01 -1.29237003e+01 3.50732360e+01 5.18514671e+00
 -1.86254782e+01 3.64587494e+01 -5.58962282e+01 -5.15809152e+00 5.06597695e+01 -2.87823674e+01 -1.73505901e+01 -3.06875685e+01 4.56655229e+01 2.72948767e+01
 -3.23142871e+01 3.76553896e+01 -3.64661365e+01 4.43356915e+00 4.92873834e+01 -5.42074863e+01 -1.28247597e+01 -2.93980659e+01 3.69788898e+01 6.86149443e+00
 -3.06189948e+01 2.76915784e+01 -3.25465780e+01 9.35926806e+00 5.90050142e+01 -4.85057594e+01 1.20835798e+01 -1.06527111e+01 5.45465351e+01 1.85839036e+01
 -4.39121384e+01 3.56732733e+01 -3.76023728e+01 9.36536643e+00 5.99006686e+01 -6.11896462e+01 3.99206971e+00 -1.66574485e+01 1.39750725e+01 8.84333326e+00
 -4.43448983e+01 6.13513458e+00 -2.68656082e+01 -9.91423106e+00 6.85359244e+01 -5.68413285e+01 -9.81003457e+00 -1.04109996e+01 5.35101573e+01 -1.51156449e+00
 -2.41327018e+01 3.78802313e+01 -5.37693961e+01 2.85400974e+01 4.93329205e+01 -4.99832032e+01 -1.60017615e+01 -1.51316936e+01 3.86813602e+01 1.91253695e+01
 -2.85735025e+01 2.02659039e+01 -1.39314660e+00 -9.28319013e+00 6.59374818e+01 -7.59045767e+01 -1.71870431e+01 -2.09840529e+01 4.09331293e+01 4.42190087e+01
 -2.87412516e+01 1.68759846e+01 -2.63259536e+01 9.79953829e+00 6.24228329e+01 -5.85416355e+01 -7.56930942e+00 -7.30186471e+00 7.07819590e+01 8.15016226e+00
 -3.49802947e+01 3.56979356e+01 -2.28652376e+01 4.73256151e+00 7.09695996e+01 -5.52937133e+01 -8.92207727e+00 -1.18610071e+01 3.45143796e+01 2.21480722e+01
 -6.19956624e+01 4.13185365e+01 -2.21139680e+01 2.46431213e+01 5.72713052e+01 -6.69372635e+01 -2.94519315e+01 -1.90428625e+01 1.23603958e+01 7.51472278e+00
 1.69767900e+00 3.11419058e+01 -3.39020092e+01 -4.35817736e+00 7.69866253e+01 -6.23366472e+01 -1.70293681e+01 -1.01601015e+01 5.15979828e+01 1.31397093e+01
